server_time,price,open,high,low,prev_close,cum_volume,cum_amount,tick_vol,tick_amt
09:25:00,57.76,57.76,57.76,57.76,53.35,786400.0,45422464.0,786400.0,45422464.0
09:30:00,57.54,57.76,57.76,56.95,53.35,1221900.0,70405338.0,435500.0,24982874.0
09:30:03,57.02,57.76,57.76,56.5,53.35,1722500.0,99072764.0,500600.0,28667426.0
09:30:06,57.02,57.76,57.76,56.5,53.35,2015900.0,115807310.0,293400.0,16734546.0
09:30:09,56.97,57.76,57.76,56.5,53.35,2204000.0,126537292.0,188100.0,10729982.0
09:30:12,56.92,57.76,57.76,56.5,53.35,2360300.0,135452360.0,156300.0,8915068.0
09:30:15,56.93,57.76,57.76,56.5,53.35,2445700.0,140320522.99999997,85400.0,4868162.99999997
09:30:18,56.92,57.76,57.76,56.5,53.35,2571700.0,147503011.00000003,126000.0,7182488.00000006
09:30:21,56.92,57.76,57.76,56.5,53.35,2760300.0,158225375.00000003,188600.0,10722364.0
09:30:24,56.86,57.76,57.76,56.5,53.35,2842100.0,162878126.99999997,81800.0,4652751.99999994
09:30:27,56.86,57.76,57.76,56.5,53.35,2913200.0,166919241.0,71100.0,4041114.00000003
09:30:30,56.83,57.76,57.76,56.5,53.35,3078900.0,176346531.0,165700.0,9427290.0
09:30:33,57.02,57.76,57.76,56.5,53.35,3138600.0,179755397.0,59700.0,3408866.0
09:30:36,57.38,57.76,57.76,56.5,53.35,3195100.0,182979285.0,56500.0,3223888.0
09:30:39,57.38,57.76,57.76,56.5,53.35,3237400.0,185402971.0,42300.0,2423686.0
09:30:42,57.4,57.76,57.76,56.5,53.35,3534800.0,202458152.0,297400.0,17055181.0
09:30:45,57.38,57.76,57.76,56.5,53.35,3682900.0,210958213.00000003,148100.0,8500061.00000003
09:30:48,57.34,57.76,57.76,56.5,53.35,3806400.0,218028188.0,123500.0,7069974.99999997
09:30:51,57.32,57.76,57.76,56.5,53.35,3934700.0,225383136.00000003,128300.0,7354948.00000003
09:30:54,57.28,57.76,57.76,56.5,53.35,4009500.0,229666687.0,74800.0,4283550.99999997
09:30:57,57.300000000000004,57.76,57.76,56.5,53.35,4053100.0,232164639.0,43600.0,2497952.0
09:31:00,57.29,57.76,57.76,56.5,53.35,4205700.0,240905930.0,152600.0,8741291.0
09:31:03,57.370000000000005,57.76,57.76,56.5,53.35,4364000.0,249980739.00000003,158300.0,9074809.00000003
09:31:06,57.39,57.76,57.76,56.5,53.35,4731100.0,271050013.0,367100.0,21069273.99999997
